Food Name,Meal,Portion,Calories,Protein,Carbs,TransFat,Vitamin C,Sodium
Cheddar Grilled Cheese Sandwich,Dinner,1 each,342.784,19.839,24.451,0.000,0.000,622.512
Mediterranian Vegetable Melt,Dinner,1 each,380.297,13.857,47.317,0.000,242.361,744.408
Smoked Pork Green Chili Salad,Dinner,3 oz,185.558,8.096,4.600,0.000,7.236,279.102
Tuna Salad Cheddar Melt,Dinner,1 each,566.893,20.213,41.037,0.000,0.000,1216.428
Cauliflower Chickpea Veggie Tots,Dinner,3 oz,151.032,3.021,21.145,0.000,9.565,201.376
Cream of Tomato Soup,Dinner,6 oz,187.200,2.880,17.280,0.000,5.184,1123.200
Garlic Herb Roasted Yukon Gold Potatoes,Dinner,4 oz,162.288,2.845,25.050,0.000,7.188,144.014
Pico de Gallo,Dinner,1 oz,9.776,0.000,1.955,0.000,2.346,195.517
Shredded Cheddar Cheese,Dinner,1 oz,111.375,7.088,0.000,0.000,0.000,182.250
Shredded Lettuce,Dinner,1 oz,4.820,0.284,0.851,0.000,6.804,2.268
Taco Shell,Dinner,1 each,51.685,0.646,6.138,0.000,0.000,0.000
Tater Tots,Dinner,4 oz,70.308,0.941,8.550,0.000,0.907,148.554
Bacon,Lunch,2 ea,241.920,15.120,0.000,0.000,0.000,997.920
Beef Chow Fun,Dinner,6 oz,430.631,6.738,30.258,0.000,8.082,109.804
Breakfast Potatoes w/ Peppers & Onions,Lunch,4 oz,67.272,1.800,14.927,0.000,75.284,38.519
Brown Rice,Dinner,4 oz,134.082,2.728,28.259,0.000,0.000,41.472
Butter,Lunch,1 oz,202.500,0.000,0.000,0.000,0.000,0.000
Carrot and Daikon Stir Fry,Dinner,3 oz,82.520,1.335,8.591,0.000,6.988,308.486
Maple Syrup,Lunch,1 oz,57.769,0.000,15.020,0.000,0.000,66.434
Margarine,Lunch,1 oz,202.500,0.000,0.000,0.000,0.000,212.625
Pancakes Blueberry,Lunch,1 ea,89.645,1.576,13.253,0.000,0.005,236.704
Pancakes Chocolate Chips,Lunch,1 ea,89.594,1.576,13.236,0.000,0.000,236.704
Pancakes Plain,Lunch,1 ea,107.460,1.890,15.876,0.000,0.000,284.044
Soy Butter Glazed Mushrooms,Dinner,3 oz,100.384,2.958,3.797,0.000,1.531,108.369
Biscuit,Lunch,1 ea,272.160,6.048,34.272,0.000,0.000,846.720
Grilled English Muffin,Lunch,1 each,136.270,3.979,24.868,0.000,0.000,198.947
Hard Boiled Egg (Breakfast),Lunch,1 each,72.162,6.358,0.394,0.000,0.000,70.648
Over Hard Fried Eggs,Lunch,1 ea,91.506,7.144,0.442,0.000,0.000,79.380
Scrambled Cheesy Cheddar Egg,Lunch,4 1/2 oz,241.338,18.468,1.296,0.000,0.000,223.097
Scrambled Egg Whites,Lunch,4 oz,72.338,12.474,1.134,0.000,0.000,192.780
Scrambled Eggs,Lunch,4 1/2 oz,215.881,16.848,1.296,0.000,0.000,181.440
Southwestern Vegetable Hash,Lunch,3 oz,41.442,1.690,7.081,0.000,60.786,88.809
American Cheese Sliced,Dinner,1 each,55.707,3.039,0.506,0.000,0.000,182.314
Cheddar Cheese Sliced,Dinner,1 each,54.000,3.375,0.000,0.000,0.000,94.500
Black Bean Basmati Cheddar Pico Wrap,Lunch,1 ea,427.465,14.743,60.193,0.000,8.911,542.869
