,Food Name,Meal,Portion,Calories,Protein,Carbs,TransFat,Vitamin C,Sodium
0,Cheddar Grilled Cheese Sandwich,Dinner,1 each,342,19,24,0,0,622
1,Peaches in syrup,Dinner,2 oz,30,0,8,0,1,2
2,Pear,Dinner,1 each,100,1,26,0,6,0
3,Pears in syrup,Dinner,2 oz,28,0,7,0,0,2
4,Peas,Dinner,1 oz,22,1,3,0,1,0
5,Pineapple,Dinner,2 oz,39,0,10,0,15,0
6,Plums,Dinner,1 each,30,0,8,0,2,0
7,Pumpkin Seeds,Dinner,1 oz,145,4,12,0,0,0
8,Ranch Dressing,Dinner,1 oz,140,0,2,0,1,190
9,Raspberry Vinaigrette Lite,Dinner,1 oz,66,0,3,0,0,118
10,Red Beans,Dinner,1 OZ,50,3,8,0,1,135
11,Red Pepper,Dinner,1 oz,5,0,1,0,21,0
12,Rice Noodle,Dinner,1 oz,101,1,23,0,0,10
13,Sesame Oriental Dressing,Dinner,1 oz,90,0,12,0,0,320
14,Shredded Carrots,Dinner,1 oz,11,0,2,0,1,19
15,Sliced Black Olives,Dinner,1 oz,25,0,2,0,0,204
16,Sliced Red Onion,Dinner,1 oz,11,0,2,0,2,1
17,TOFU,Dinner,2 OZ,46,4,1,0,0,6
18,Thousand Island Dressing,Dinner,1 oz,140,0,4,0,0,260
19,Watermelon,Dinner,2 oz,16,0,4,0,3,0
20,Yogurt,Dinner,2 oz,51,2,9,0,0,36
21,Chicken Noodle Soup,Dinner,6 oz,200,10,27,0,3,1604
22,Loaded Potato Soup,Dinner,6 oz,201,3,23,0,0,1046
23,Vegan Quinoa Chili,Dinner,6 oz,0,0,0,0,0,0
24,Peaches Whole,Dinner,1 each,38,0,9,0,6,0
25,Basil & Pepper Gourmet Beans,Dinner,4 oz,150,7,20,0,29,53
26,Orange,Dinner,1 each,103,1,24,0,101,0
27,Lo Mien Noodles,Dinner,2 oz,8,0,0,0,0,1
28,Chopped Kale,Dinner,2 oz,30,2,5,0,74,23
29,Chopped Lettuce,Dinner,2 oz,6,0,2,0,1,6
30,Chopped Romaine,Dinner,2 oz,9,0,1,0,13,4
31,Corn Nuts,Dinner,1 oz,0,0,0,0,0,0
32,Corn,Dinner,1 oz,31,0,6,0,1,0
33,Cottage Cheese,Dinner,2 oz,40,5,3,0,0,160
34,Cran Raisin,Dinner,1 oz,122,0,31,0,0,0
35,Crouton,Dinner,1 oz,60,2,10,0,0,162
36,Cucumber,Dinner,1 oz,2,0,0,0,1,0
37,Diced Green Pepper,Dinner,1 oz,5,0,1,0,218,0
38,Edamame,Dinner,1 oz,40,3,3,0,8,5
39,Eggs,Dinner,2 oz,96,8,1,0,0,84
40,Fajita Chicken Strips,Dinner,3 oz,137,19,3,0,0,644
41,M&M Candy Cookie,Dinner,1 each,0,0,0,0,0,0
42,French Dressing,Dinner,1 oz,120,0,5,0,0,250
43,Fresh Blueberry,Dinner,2 oz,51,0,12,0,5,0
44,Fresh Strawberry,Dinner,2 oz,8,0,1,0,15,0
45,Garbanzo Beans,Dinner,1 oz,21,0,4,0,0,54
46,Grapes,Dinner,2 oz,39,0,10,0,1,3
47,Greek Pita Flat Bread,Dinner,1 each,246,8,41,0,0,442
48,Hummus,Dinner,2 oz,141,2,8,0,0,243
49,Lite Italian Dressing PC,Dinner,1 each,30,0,1,0,0,558
50,Lite Ranch Dressing,Dinner,1 oz,75,0,1,0,0,236
51,Mixed Greens,Dinner,2 OZ,30,0,0,0,20,0
52,Breaded Chicken Cutlet,Dinner,1 each,259,19,21,0,0,473
53,Chipotle Chicken Black Bean Quesadilla,Dinner,1 each,727,34,79,0,28,1982
54,Kung Pao Tofu,Dinner,4 oz,256,11,15,0,1,250
55,Roasted Button Mushrooms and Peppers,Dinner,4 oz,61,2,2,0,30,90
56,Roasted Corn Black Beans and Tomatoes,Dinner,2 oz,37,1,6,0,5,107
57,Roasted Italian Herb Cauliflower Kasha Grain,Dinner,2 oz,60,2,12,0,3,32
58,Semolina Pasta Cooked,Dinner,4 oz,176,5,33,0,0,1
59,Sesame Roasted Broccoli,Dinner,4 oz,58,3,7,0,101,175
60,Spinach Chunky Tomato Lentils,Dinner,3 oz,107,7,18,0,4,63
61,Avocado Pico de Gallo Egg Provolone Breakfast Sandwich,Dinner,1 each,341,15,12,0,13,711
62,Bratwurst Egg Provolone Breakfast Sandwich,Dinner,1 each,510,27,2,0,0,1275
63,Grilled Chicken Parmesan Sandwich,Dinner,1 each,545,37,61,0,9,2006
64,"Tomato, Fresh Mozzarella and Basil Pesto Sandwich",Dinner,1 each,350,19,24,0,11,485
65,Blackened Turkey Breast,Dinner,3 oz,142,20,1,0,20,585
66,Baked Cheddar Green Chili Tomato Ziti,Dinner,6 oz,277,11,23,0,5,275
67,Caprese Savory Bread Pudding,Dinner,4 oz,358,8,15,0,3,434
68,Chicken Tetrazzini,Dinner,6 oz,290,17,27,0,1,416
69,Five Cheese Al Forno Pasta with Mushrooms & Olives,Dinner,4 oz,180,8,24,0,8,696
70,Italian sausage Roasted Red Pepper Pesto Alfredo,Dinner,4 OZ,196,6,19,0,2,311
71,Parmesan Garlic Bread,Dinner,1 each,176,4,21,0,0,233
72,Chicken Mushroom Pot Pie,Dinner,6 oz,289,18,20,0,2,441
73,Italian Herb Crushed Red Pepper Broccoli,Dinner,4 oz,89,3,11,0,73,94
74,Vegan Beef Strips,Dinner,3 oz,136,23,5,0,0,333
75,Vegan Biscuit,Dinner,1 each,151,3,22,0,0,314
76,Chocolate Chip Cookie,Dinner,1 each,187,1,25,0,0,257
77,Chocolate Chocolate Chip Cookie,Dinner,1 each,205,1,25,0,0,103
78,Mushroom Rice Pilaf,Dinner,3 oz,118,2,15,0,1,72
79,Asian Garlic Noodles,Dinner,4 oz,375,8,54,0,0,567
80,Thai Curry Catfish,Dinner,4 oz,101,12,3,0,1,164
81,Shanghai Braised Pork,Dinner,4 oz,174,6,1,0,0,105
82,Moroccan Roasted Potaoes,Dinner,4 oz,159,2,24,0,6,65
83,Roasted Red Pepper Tarragon Lentils,Dinner,3 oz,127,9,22,0,6,80
84,Squash BBQ,Dinner,3 oz,18,1,3,0,4,0
85,Sticky Rice,Dinner,3 oz,112,2,24,0,0,1
86,Sugar Snap Peas and Red Peppers,Dinner,3 oz,51,2,8,0,20,11
87,Banana Peppers,Dinner,1 oz,4,0,0,0,28,377
88,Bean Sprouts,Dinner,1 oz,1,0,0,0,3,0
89,Chipotle Hummus,Dinner,1 oz,70,2,5,0,0,131
90,Edamame Hummus,Dinner,1 oz,63,3,2,0,6,27
91,Ezekiel Flax Bread,Dinner,2 each,0,0,0,0,0,0
92,Ezekiel Organic Bread,Dinner,2 each,0,0,0,0,0,0
93,Cantaloupe,Dinner,2 oz,21,0,5,0,20,8
